	BH90_04.00_170222	BP06_16.00_11_03_22	BP07_8.00_16_2_22	BP34_06.00_170222	BP34_08.00_170222	BP46_08.00_10_03_22	BP46_16.00_10_03_22	BP47_14.00_10_03_22	BP48_12.00_10_03_22	BP48_14.00_10_03_22	BP59_08.00_11_03_22	BP59_14.00_11_03_22	BP59_16.00	BP59_18.00_11_03_22	BP59_20.00_11_03_22	BP59_22.00_11_03_22	BP60_22.00_10_03_22	BP60_26.00_10_03_22	BP76_18.00_10_03_22	BP76_22.00_10_03_22	BP76_26.00_10_03_22	BP77_16.00_10_03_22	BP77_22.00_10_03_22	BP91_10.00_16_2_22	BP91_20.00_16_2_22	BP91_28.00_16_2_22	MWB05I_18_03_22	MWBO7I_18_03_22	MWD04D_16_2_22	MWD04I_16_2_22	MWD04S_16_2_22	MWD16_D_170222	MWD16_I_170222	MWD16_S_170222	MWF13D_11_03_22	MWF13I_11_03_22	MWF13S_11_03_22	MWF14D_18_03_22	MWF14I_18_03_22	MWF14S_18_03_22	QW016_D_170222	QW016_I_170222	WG269_D_170222	WG269_I_170222	BP49-06.00-10/03/22	QW016D-17/2/22	MWD16D-17/2/22	BP90-4.00-17/2/22	QW016I-17/2/22	WG269D-17/2/22	MWB07I-18/03/22	MWF13S-11/03/22	MWD16S-17/2/22	WG269I-17/2/22	MWD16I-17/2/22
Dibromomethane	0.1	0.005	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.005	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Dichlorodifluoromethane	1	0.05	1	0.5	0.05	0.2	0.2	0.2	0.2	0.2	0.01	0.05	2	0.2	0.5	0.05	0.5	0.5	0.05	0.05	2	0.05	0.05	0.2	0.2	10	0.05	0.01	1	0.01	0.5	0.05	0.2	0.05	0.2	0.2	0.01	0.2	0.05	0.01	0.2	0.2	5	2	0	0	0	0	0	0	0	0	0	0	0
Dichloromethane	0.1	0.025	0.1	0.05	0.015	0.041	0.255	0.027	0.11	0.187	0.005	0.005	0.2	0.109	0.152	0.007	0.199	0.302	0.062	0.296	0.2	0.075	0.104	0.02	0.02	1	0.078	0.005	0.1	0.005	0.05	0.011	0.021	0.016	0.1	0.101	0.005	0.062	0.37	0.005	0.02	0.123	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Hexachlorobutadiene	0.897	0.0491	0.1	0.526	1.74	0.0576	0.234	1.03	0.31	0.519	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.0496	0.001	0.1	0.001	0.05	0.0951	0.134	0.115	0.02	0.02	0.001	0.02	0.005	0.001	1.02	0.455	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Iodomethane	0.1	0.005	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.303	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.016	0.017	0.02	0.02	1	0.01	0.004	0.1	0.001	0.05	0.005	0.02	0.005	0.028	0.03	0.004	0.03	0.011	0.002	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Pentachloroethane	0.1	0.005	0.1	0.05	0.167	0.02	0.063	0.094	0.035	0.114	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.023	0.001	0.1	0.001	0.05	0.017	0.033	0.014	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Trichloroethene	252	3.74	0.566	14.8	0.272	7.85	3.08	2.06	7.96	8.28	0.003	0.043	3.33	3.92	8.08	0.029	7.48	0.374	0.009	2.1	2.16	0.028	0.048	1.19	2.16	9.26	7.07	0.031	1.91	0.068	0.751	1.05	0.45	3.54	1.39	1.33	0.004	10.8	1.87	0.028	3.94	2.97	3.57	2.56	0	0	0	0	0	0	0	0	0	0	0
Tetrachloroethene	16.6	0.045	0.1	115	8.77	0.314	24.2	17.4	18.8	37	0.001	0.005	1.6	0.444	4.3	0.01	4.16	0.196	0.005	0.043	1.08	0.014	0.01	0.078	0.241	1	1.73	0.009	0.149	0.007	0.05	3.28	0.045	1.77	0.541	0.495	0.003	3.83	0.166	0.078	10.3	1.37	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Trichlorofluoromethane	1	0.05	1	0.5	0.05	0.2	0.2	0.2	0.2	0.2	0.01	0.05	2	0.2	0.5	0.05	0.5	0.5	0.05	0.05	2	0.05	0.05	0.2	0.2	10	0.05	0.01	1	0.01	0.5	0.05	0.2	0.05	0.2	0.2	0.01	0.2	0.05	0.01	0.2	0.2	5	2	0	0	0	0	0	0	0	0	0	0	0
Vinyl chloride	3.55	1.18	1	0.5	0.05	0.603	0.342	0.304	1.46	2.15	0.932	1.04	4.38	0.777	2.47	2.35	2.84	2.98	2.53	2.16	3.2	1.42	1.66	0.2	0.2	10	0.285	0.115	1.35	0.0796	1.87	0.0641	0.2	0.282	0.569	0.547	0.01	1.36	1.79	0.01	0.2	0.517	11.6	6.1	0	0	0	0	0	0	0	0	0	0	0
